"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2023","50.090","48.995","50.395","48.860","","2.62%"
"09/01/2023","48.810","49.065","49.570","48.965","","-0.20%"
"08/31/2023","48.910","49.670","49.735","49.045","","-1.19%"
"08/30/2023","49.500","49.555","50.255","49.225","","0.22%"
"08/29/2023","49.390","49.380","49.975","49.020","","0.33%"
"08/28/2023","49.230","49.685","50.000","48.845","","-0.47%"
"08/25/2023","49.460","49.480","49.875","48.835","","0.41%"
"08/24/2023","49.260","49.320","49.660","49.210","","0.24%"
"08/23/2023","49.140","49.150","49.440","49.040","","0.35%"
"08/22/2023","48.970","49.365","49.615","49.080","","-0.45%"
"08/21/2023","49.190","50.040","50.065","49.265","","-1.17%"
"08/18/2023","49.770","49.900","50.055","49.230","","0.18%"
"08/17/2023","49.680","49.815","50.120","49.185","","0.14%"
"08/16/2023","49.610","49.455","50.085","49.365","","0.67%"
"08/15/2023","49.280","49.405","49.760","49.350","","0.10%"
"08/14/2023","49.230","49.505","49.970","49.210","","-0.14%"
"08/11/2023","49.300","49.635","49.715","49.460","","-0.32%"
"08/10/2023","49.460","50.265","50.520","49.570","","-1.16%"
"08/09/2023","50.040","50.180","50.365","49.495","","0.18%"
"08/08/2023","49.950","49.675","50.345","49.370","","0.87%"
"08/07/2023","49.520","49.805","50.360","49.510","","-0.16%"
"08/04/2023","49.600","49.555","50.430","49.440","","0.45%"
"08/03/2023","49.380","49.440","50.405","49.340","","0.22%"
"08/02/2023","49.270","49.645","50.205","49.350","","-0.40%"
"08/01/2023","49.470","50.910","50.945","49.500","","-2.62%"
"07/31/2023","50.800","50.485","51.070","49.985","","1.03%"
"07/28/2023","50.280","50.115","50.855","49.655","","0.70%"
"07/27/2023","49.930","51.030","51.200","50.060","","-1.96%"
"07/26/2023","50.930","50.405","51.150","50.110","","1.37%"
"07/25/2023","50.240","50.895","50.980","49.985","","-1.04%"
"07/24/2023","50.770","51.095","51.125","50.200","","-0.37%"
"07/21/2023","50.960","50.375","51.270","50.295","","1.53%"
"07/20/2023","50.190","51.520","51.655","50.310","","-2.35%"
"07/19/2023","51.400","50.800","51.640","50.555","","1.52%"
"07/18/2023","50.630","50.845","51.025","50.715","","-0.10%"
"07/17/2023","50.680","50.895","51.015","50.685","","-0.02%"
"07/14/2023","50.690","50.970","51.045","50.715","","-0.20%"
"07/13/2023","50.790","50.480","50.975","50.405","","0.97%"
"07/12/2023","50.300","50.090","50.525","49.940","","0.78%"
"07/11/2023","49.910","50.050","50.865","49.920","","0.06%"
"07/10/2023","49.880","49.875","50.060","49.730","","0.38%"
"07/07/2023","49.690","49.760","49.890","49.400","","0.20%"
"07/06/2023","49.590","49.435","50.205","49.205","","0.71%"
"07/05/2023","49.240","49.500","49.670","49.375","","-0.18%"
"07/04/2023","49.330","49.650","49.680","49.480","","-0.30%"
"07/03/2023","49.480","49.700","49.775","49.460","","-0.10%"
"06/30/2023","49.530","49.485","49.800","49.340","","0.43%"
"06/29/2023","49.320","50.255","50.285","49.370","","-1.64%"
"06/28/2023","50.140","49.815","50.485","49.625","","1.01%"
"06/27/2023","49.640","49.585","50.605","49.550","","0.49%"
"06/26/2023","49.400","50.070","50.135","49.440","","-1.06%"
"06/23/2023","49.930","50.350","50.360","49.460","","-0.60%"
"06/22/2023","50.230","49.990","50.495","49.765","","0.84%"
"06/21/2023","49.810","50.115","50.140","49.525","","-0.36%"
"06/20/2023","49.990","49.755","50.195","49.485","","0.83%"
"06/19/2023","49.580","49.675","49.780","49.520","","0.18%"
"06/16/2023","49.490","49.855","49.890","49.490","","-0.38%"
"06/15/2023","49.680","49.385","49.890","49.140","","0.91%"
"06/14/2023","49.230","49.750","49.775","49.035","","-0.83%"
"06/13/2023","49.640","48.935","49.905","48.930","","1.76%"
"06/12/2023","48.780","48.760","49.625","48.670","","0.41%"
"06/09/2023","48.580","49.115","49.155","48.720","","-0.76%"
"06/08/2023","48.950","49.345","49.565","48.775","","-0.57%"
"06/07/2023","49.230","49.295","49.535","48.645","","0.20%"
"06/06/2023","49.130","48.860","49.320","48.505","","0.90%"
"06/05/2023","48.690","48.740","49.005","48.620","","0.29%"
"06/02/2023","48.550","49.560","49.595","48.705","","-1.70%"
"06/01/2023","49.390","48.850","49.595","48.660","","1.46%"
